First Name,Last Name,Year,Rec,Yards,TD,20+,40+,Lng,Rec 1st,1st %,Rec FUM,Targets,Position,Draft Year,College,Height (inch),Weight (lbs),BMI,ArmLength (inch),Hand Size (inch),Wing Span (inch),40 Yard Dash (s),40 Yard (MPH),20 Yard Split (s),Bench Press,QB Ball Velocity,Vertical Leap (inch),Broad Jump (inch),20 Yd Shuttle (s),Three Cone
Charles,Alexander,1984.0,29.0,203.0,,,,22.0,,,,,RB,,,,,,,10.375,,,,,,,,,,
Charles,Alexander,1985.0,15.0,110.0,,,,19.0,,,,,RB,,,,,,,10.375,,,,,,,,,,
Danario,Alexander,2010.0,20.0,306.0,1.0,4.0,2.0,46.0,12.0,0.6,,37.0,WR,2010.0,Missouri,"76,63",215.0,26.36,,,,,,,(N/A) reps (225 lb),(N/A) (MPH),,,,
Danario,Alexander,2011.0,26.0,431.0,2.0,7.0,1.0,68.0,19.0,0.731,,60.0,WR,2010.0,Missouri,"76,63",215.0,26.36,,,,,,,(N/A) reps (225 lb),(N/A) (MPH),,,,
Danario,Alexander,2012.0,37.0,658.0,7.0,9.0,1.0,80.0,29.0,0.784,,62.0,WR,2010.0,Missouri,"76,63",215.0,26.36,,,,,,,(N/A) reps (225 lb),(N/A) (MPH),,,,
David,Alexander,1994.0,2.0,,,,,1.0,,,,,C,,,,,,,,,,,,,,,,,
Derrick,Alexander,1994.0,48.0,828.0,2.0,12.0,4.0,81.0,38.0,0.792,2.0,,WR,1994.0,Michigan,"73,1",196.0,26.41,31.5,8.75,,4.5,,2.61,(N/A) reps (225 lb),(N/A) (MPH),36.0,,4.19,
Derrick,Alexander,1995.0,15.0,216.0,,4.0,1.0,40.0,9.0,0.6,1.0,,WR,1994.0,Michigan,"73,1",196.0,26.41,31.5,8.75,,4.5,,2.61,(N/A) reps (225 lb),(N/A) (MPH),36.0,,4.19,
Derrick,Alexander,1996.0,62.0,1099.0,9.0,17.0,6.0,64.0,50.0,0.8059999999999999,,,WR,1994.0,Michigan,"73,1",196.0,26.41,31.5,8.75,,4.5,,2.61,(N/A) reps (225 lb),(N/A) (MPH),36.0,,4.19,
Derrick,Alexander,1997.0,65.0,1009.0,9.0,13.0,3.0,92.0,39.0,0.6,1.0,,WR,1994.0,Michigan,"73,1",196.0,26.41,31.5,8.75,,4.5,,2.61,(N/A) reps (225 lb),(N/A) (MPH),36.0,,4.19,
